region,comunas,P1,P2,P3,EJH,ICE,CPF,EST,PM,PI,Tramo 40,SA,AR,PO,OCP,IDC,HM
nuble,Quirihue,0.2,0.06,0.74,8.4,-0.710,0.9348,0.7900,0.3530,0.1826,0.6768,0.2150,0.1829,0.0172,0.4586,0.2757,0.0813
nuble,Cobquecura,0.31,0.03,0.66,7.7,-0.860,0.8009,0.8400,0.4724,0.3418,0.7119,0.4245,0.7101,0.0165,0.4062,0.1971,0.0476
nuble,Coelemu,0.17,0.11,0.72,8.4,-0.710,0.8778,0.7400,0.3072,0.1828,0.5988,0.2766,0.2851,0.0113,0.4499,0.3715,0.0822
nuble,Ninhue,0.4,0.05,0.55,6.9,-1.010,0.7838,0.7900,0.3476,0.2534,0.7596,0.6632,0.7124,0.0126,0.5768,0.1943,0.0775
nuble,Portezuelo ,0.44,0.08,0.48,7.3,-0.880,0.7064,0.7900,0.3547,0.1869,0.7404,0.4012,0.6290,0.0121,0.6201,0.2415,0.0856
nuble,Ránquil,0.29,0.13,0.58,8,-1.010,0.9990,0.7700,0.2431,0.0950,0.6670,0.3039,0.7242,0.0159,0.5394,0.2587,0.0836
nuble,Treguaco ,0.27,0.1,0.63,7.3,-1.130,0.7787,0.7500,0.2365,0.2059,0.6926,0.4156,0.6715,0.0122,0.4909,0.2036,0.0781
nuble,San Carlos,0.21,0.08,0.71,8.8,0.32,0.3475,0.4700,0.2750,0.1380,0.6291,0.1393,0.3727,0.0074,0.7285,0.4051,0.0972
nuble,Coihueco ,0.4,0.04,0.56,7.9,-0.150,0.3892,0.7400,0.2725,0.2203,0.6891,0.2128,0.6615,0.0099,0.3615,0.2963,0.0792
nuble,Ñiquén ,0.41,0.05,0.54,7.4,-0.610,0.4369,0.7800,0.3076,0.1994,0.6871,0.2505,0.8966,0.0144,0.7414,0.2697,0.0936
nuble,San Fabián ,0.2,0.05,0.75,8,-0.810,0.1387,0.8100,0.3243,0.1377,0.7013,0.1124,0.6068,0.0197,0.3164,0.2796,0.0681
nuble,San Nicolás,0.32,0.08,0.6,8.1,-0.710,0.6249,0.7300,0.3497,0.1431,0.6675,0.2968,0.5788,0.0113,0.7481,0.2922,0.0986
nuble,Chillán,0.06,0.07,0.87,11.1,2.02,0.3724,0.7500,0.1272,0.1167,0.5513,0.0578,0.0871,0.0252,0.7554,0.5352,0.0842
nuble,Bulnes,0.24,0.1,0.66,8.7,-0.520,0.3060,0.7400,0.2869,0.1488,0.5999,0.1997,0.3723,0.0192,0.6873,0.3592,0.0913
nuble,Chillán Viejo,0.08,0.09,0.83,10.3,0.120,0.5962,0.7500,0.2405,0.1910,0.5957,0.0874,0.1132,0.0307,0.7478,0.3780,0.0921
nuble,El Carmen ,0.39,0.04,0.57,7.6,-0.590,0.2514,0.7500,0.3408,0.2877,0.7116,0.4944,0.5964,0.0066,0.4026,0.2467,0.0864
nuble,Pemuco ,0.27,0.08,0.65,7.8,-1.110,0.6462,0.7300,0.2848,0.2384,0.6572,0.2671,0.5066,0.0098,0.5173,0.2612,0.1101
