Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;45;Universidade de Sao Paulo *;BRA;Universities;1
2;205;Universidad Nacional Autonoma de Mexico;MEX;Universities;1
3;522;Universidade Estadual Paulista Julio de Mesquita Filho;BRA;Universities;1
4;568;Universidade Estadual de Campinas *;BRA;Universities;1
5;627;Universidade Federal de Minas Gerais;BRA;Universities;1
6;648;Universidade Federal do Rio de Janeiro *;BRA;Universities;1
7;686;Pontificia Universidad Catolica de Chile *;CHL;Universities;1
8;718;Universidade Federal do Rio Grande do Sul;BRA;Universities;1
9;722;Universidad de Chile *;CHL;Universities;1
10;1000;Universidad Nacional de Colombia *;COL;Universities;1
11;1155;Universidad de Buenos Aires *;ARG;Universities;1
12;1208;Universidade Federal de Santa Catarina *;BRA;Universities;1
13;1298;Universidade Federal do Parana;BRA;Universities;1
14;1634;Universidade de Brasilia;BRA;Universities;1
15;1728;Instituto Tecnologico y de Estudios Superiores de Monterrey *;MEX;Universities;1
16;1842;Universidade Federal de Sao Paulo *;BRA;Universities;1
17;1922;Universidad de Antioquia *;COL;Universities;1
18;2076;Instituto Politecnico Nacional;MEX;Universities;1
19;2177;Universidad Nacional de La Plata *;ARG;Universities;1
20;2225;Universidad de Concepcion *;CHL;Universities;1
21;2336;Pontificia Universidade Catolica do Rio Grande do Sul;BRA;Universities;1
22;2372;Universidade Federal de Goias;BRA;Universities;1
23;2413;Universidade Federal do Ceara;BRA;Universities;1
24;2467;Pontificia Universidad Javeriana *;COL;Universities;1
25;2472;Universidad de los Andes, Colombia *;COL;Universities;1
26;2485;Universidade Federal da Bahia;BRA;Universities;1
27;2489;Universidade Federal Fluminense;BRA;Universities;1
28;2568;Universidade Federal do Rio Grande do Norte;BRA;Universities;1
29;2588;Universidad Nacional de Cordoba *;ARG;Universities;1
30;2687;Universidade Federal de Pernambuco;BRA;Universities;1
31;2712;Universidad de Guadalajara;MEX;Universities;1
32;2749;Universidade Federal de Sao Carlos;BRA;Universities;1
33;2755;Universidade Federal de Santa Maria;BRA;Universities;1
34;3063;Pontificia Universidad Catolica de Valparaiso *;CHL;Universities;1
35;3132;Universidade Federal da Paraiba;BRA;Universities;1
36;3158;Universidade Federal de Pelotas;BRA;Universities;1
37;3181;Universidad Autonoma de Nuevo Leon *;MEX;Universities;1
38;3188;Universidade Federal de Vicosa;BRA;Universities;1
39;3275;Universidad de Costa Rica;CRI;Universities;1
40;3277;Universidade do Estado do Rio de Janeiro *;BRA;Universities;1
41;3349;Universidad de la Republica *;URY;Universities;1
42;3353;Escola Nacional de Saude Publica Sergio Arouca;BRA;Universities;1
43;3374;Universidade Federal do Para;BRA;Universities;1
43;3374;Universidade Estadual de Maringa;BRA;Universities;1
45;3397;Instituto Militar de Engenharia;BRA;Universities;1
45;3397;Centro de Investigacion y de Estudios Avanzados del IPN *;MEX;Universities;1
47;3481;Universidade Federal de Lavras;BRA;Universities;1
48;3493;Universidade Federal do Espirito Santo;BRA;Universities;1
49;3586;Universidade Sao Francisco;BRA;Universities;1
50;3596;Fundacao Getulio Vargas *;BRA;Universities;1
51;3667;Universidad del Rosario *;COL;Universities;1
52;3671;Universidade de Fortaleza;BRA;Universities;1
53;3679;Universidad Autonoma Metropolitana;MEX;Universities;1
54;3723;Universidad Austral de Chile *;CHL;Universities;1
55;3741;Pontificia Universidade Catolica do Rio de Janeiro;BRA;Universities;1
56;3749;Pontificia Universidad Catolica del Peru;PER;Universities;1
57;3760;Universidade Estadual de Londrina;BRA;Universities;1
58;3816;Universidad Andres Bello, Chile *;CHL;Universities;1
59;3820;Universidad de la Costa;COL;Universities;1
60;3843;Universidad de Puerto Rico *;PRI;Universities;1
61;3852;Universidad Nacional de Rosario *;ARG;Universities;1
62;3869;Universidad Nacional del Litoral *;ARG;Universities;1
63;3896;Universidade Federal de Uberlandia;BRA;Universities;1
64;3973;Universidad de Talca *;CHL;Universities;1
65;3991;Universidad Tecnica Federico Santa Maria *;CHL;Universities;1
66;4006;Centro Nacional de Investigacion y Desarrollo Tecnologico;MEX;Universities;1
67;4145;University of the West Indies, Mona Campus *;JAM;Universities;1
68;4161;Pontificia Universidade Catolica do Parana;BRA;Universities;1
69;4167;Universidade Federal de Juiz de Fora;BRA;Universities;1
70;4216;Universidad del Desarrollo;CHL;Universities;1
71;4227;Universidad Autonoma del Estado de Hidalgo;MEX;Universities;1
72;4232;Universidad Nacional Autonoma de Honduras *;HND;Universities;1
73;4242;Universidad de Santiago de Chile *;CHL;Universities;1
74;4289;Universidad Peruana Cayetano Heredia;PER;Universities;1
75;4302;Benemerita Universidad Autonoma de Puebla *;MEX;Universities;1
76;4320;Universidad Nacional de San Martin, Argentina *;ARG;Universities;1
77;4332;Universidad de los Andes, Chile;CHL;Universities;1
78;4345;Universidad Nacional Mayor de San Marcos;PER;Universities;1
79;4409;Universidade Federal de Mato Grosso do Sul;BRA;Universities;1
80;4441;Universidad Autonoma del Estado de Mexico;MEX;Universities;1
81;4459;Universidade Federal do ABC;BRA;Universities;2
82;4472;Universidad Mayor *;CHL;Universities;1
83;4492;Universidad Autonoma de Chile;CHL;Universities;1
84;4539;Universidad Veracruzana;MEX;Universities;1
85;4566;Universidad de Guanajuato;MEX;Universities;1
86;4585;Universidade Tecnologica Federal do Parana;BRA;Universities;2
87;4617;Faculdade de Medicina de Sao Jose do Rio Preto;BRA;Universities;1
88;4640;Universidad de Puerto Rico, Ciencias Medicas;PRI;Universities;2
89;4709;Centro Academico de Salud de la Universidad Austral;ARG;Universities;1
90;4762;Escuela Superior Politecnica del Litoral;ECU;Universities;1
91;4772;Universidad Autonoma de Coahuila *;MEX;Universities;1
92;4776;Universidade Tiradentes;BRA;Universities;1
92;4776;Universidad del Valle, Colombia;COL;Universities;1
94;4782;Universidad Autonoma de Baja California;MEX;Universities;1
95;4788;Universidade Federal do Piaui;BRA;Universities;2
96;4808;Universidade do Vale do Rio dos Sinos;BRA;Universities;2
97;4834;Universidad Pontificia Bolivariana *;COL;Universities;1
98;4886;Universidad Austral *;ARG;Universities;1
99;4903;Universidad de La Sabana *;COL;Universities;1
100;4949;Universidade Federal de Sergipe;BRA;Universities;1
101;4964;Universidad Nacional de Mar del Plata *;ARG;Universities;2
102;4987;Universidad Anahuac;MEX;Universities;1
103;4992;Universidad de Antofagasta *;CHL;Universities;2
103;4992;Universidad de la Frontera;CHL;Universities;2
105;4996;Universidade Federal Rural de Pernambuco;BRA;Universities;2
106;5010;Universidade da Integracao Internacional da Lusofonia Afro-Brasileira;BRA;Universities;1
107;5104;Universidad de Colima;MEX;Universities;1
108;5120;Universidad Industrial de Santander;COL;Universities;1
109;5151;Universidad Autonoma de San Luis Potosi;MEX;Universities;2
110;5199;Universidade do Estado de Santa Catarina;BRA;Universities;2
111;5219;Universidade Catolica Dom Bosco;BRA;Universities;1
111;5219;Universidad Adolfo Ibanez *;CHL;Universities;2
113;5222;Universidade Cruzeiro do Sul;BRA;Universities;1
114;5229;Universidad Autonoma de Queretaro;MEX;Universities;2
115;5255;Universidad EAFIT;COL;Universities;1
116;5258;Universidade Federal do Rio Grande;BRA;Universities;2
117;5283;Universidad de Cartagena;COL;Universities;1
118;5292;Universidad de Valparaiso;CHL;Universities;2
119;5295;El Colegio de Mexico;MEX;Universities;1
120;5301;Universidad de Las Americas, Ecuador;ECU;Universities;1
121;5309;Escola de Administracao de Empresas de Sao Paulo da Fundacao Getulio Vargas;BRA;Universities;1
122;5320;University of the West Indies, St. Augustine Campus;TTO;Universities;1
123;5336;Universidad de Puerto Rico, Rio Piedras;PRI;Universities;1
124;5365;Universidad Iberoamericana, Mexico;MEX;Universities;1
125;5381;Universidade Federal de Ciencias da Saude de Porto Alegre;BRA;Universities;2
125;5381;Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires;ARG;Universities;2
127;5409;Universidad Nacional del Centro de la Provincia de Buenos Aires *;ARG;Universities;2
128;5415;Universidad del Norte, Barranquilla *;COL;Universities;1
129;5425;Universidad de Puerto Rico, Mayaguez;PRI;Universities;1
130;5437;Universidade Federal de Campina Grande;BRA;Universities;2
131;5452;Universidad de Tarapaca *;CHL;Universities;2
132;5458;Universidade Federal de Ouro Preto;BRA;Universities;2
133;5464;Universidad Tecnologica Metropolitana;CHL;Universities;1
134;5471;Universidad Peruana de Ciencias Aplicadas;PER;Universities;1
135;5482;Universidad Autonoma del Estado de Morelos;MEX;Universities;1
136;5484;Universidade Federal do Tocantins;BRA;Universities;2
136;5484;Universidad Diego Portales;CHL;Universities;1
138;5519;Universidade Federal de Jatai;BRA;Universities;1
139;5544;Universidad San Francisco de Quito;ECU;Universities;1
140;5547;Universidad Pedagogica y Tecnologica de Colombia;COL;Universities;1
141;5549;Escuela Politecnica Nacional;ECU;Universities;1
142;5579;Universidade do Estado do Amazonas;BRA;Universities;2
143;5584;Universidad de Sonora;MEX;Universities;2
144;5601;Universidade Federal de Mato Grosso;BRA;Universities;2
145;5634;Universidad Francisco de Paula Santander;COL;Universities;1
146;5636;Universidade de Caxias do Sul;BRA;Universities;1
147;5639;Universidade Federal de Alagoas;BRA;Universities;2
148;5647;Pontificia Universidade Catolica de Campinas;BRA;Universities;2
149;5661;Universidade Catolica de Brasilia;BRA;Universities;1
149;5661;Universidad Tecnologica del Peru;PER;Universities;1
149;5661;Universidade Estacio de Sa;BRA;Universities;1
152;5683;Universidad de Panama;PAN;Universities;2
153;5693;Instituto Tecnologico Metropolitano;COL;Universities;1
154;5694;Universidad de Santander;COL;Universities;1
155;5712;Universidad Autonoma de Yucatan;MEX;Universities;2
156;5731;Universidad San Sebastian;CHL;Universities;2
156;5731;Universidad Nacional del Sur *;ARG;Universities;2
158;5740;Universidad Autonoma de Sinaloa;MEX;Universities;2
